96-1421;18X10X10;5LBS
GMX4301;31X22X3;27LBS
GMX4300;24X17X3;21LBS
0001-0048C;26X7X5;23LBS
0002-0045C;37X22X2;46LBS
0009-0426C;4X4X4;1LBS
86-4480-102;31X22X3;15LBS
86-4480-103;31X22X3;15LBS
87-2024-007;32X4X4;16LBS 
35093510;26X7X5;4LBS
446;60X12X3;33LBS
447;66X12X3;39LBS
448;70X12X3;40LBS
449;84X12X3;50LBS
96-0622;77X8X3;46LBS
96-0690;47X12X3;12LBS
96-0912;41X36X3;29LBS
96-0945;59X13X3;43LBS
96-0992;49X35X3;32LBS
96-1173;35X20X2;14LBS
96-1317;49X36X-3;30LBS
96-1913;36X33X3;24LBS
0006-0010C;56X12X3;35LBS
0006-0013C;49X36X3;32LBS
0006-0057C;71X12X3;39LBS
0006-0079C;39X35X3;29LBS
0006-0080C;39X36X3;35LBS
5074-2;26X26X6;38LBS
5080-2;28X26X6;33LBS
5082-2;27X24X6;37LBS
5084-2;30X27X5;35LBS
5340-2;57X27X25;22LBS
5345-2;47X20X18;20LBS
5346-2;56X19X22;18LBS
96-1426;43X26X15;20LBS
96-1547;50X26X14;24LBS  
0007-0031C;36X26X13;24LBS 
0007-0026C;50X26X14;46LBS 
10026;30X25X3;10LBS
10027;35X24X3;13LBS
10029;35X24X3;6LBS
10030;60X24X3;30LBS
10031;61X35X3;28LBS
10032;34X24X3;28LBS
10033;34X24X3;28LBS
10034;35X24X3;18LBS
10035;35X24X3;13LBS
10036;35X24X3;28LBS
10037;35X25X3;18LBS
10038;35X24X3;20LBS
10039;35X24X3;9LBS
10040;30X21X3;9LBS
10042;35X24X3;31LBS
10044;25X17X3;71LBS
10050;25X22X3;9LBS
10052;30X25X3;16LBS
10053;24X15X3;12LBS
10056;30X25X3;10LBS
10058;60X18X3;33LBS
10059;65X27X3;21LBS
10091;24X17X3;8LBS
10092;24X17X3;9LBS
10093;24X17X3;8LBS
10094;35X13X3;12LBS
10095;47X12X3;11LBS
10096;31X22X3;16LBS
10099;48X36X3;10LBS
10101;38X20X4;16LBS
10103;35X24X3;20LBS
10105;35X18X3;20LBS
10106;35X24X3;28LBS
10107;48X18X3;24LBS
10110;36X36X3;36LBS
10111;31X22X3;15LBS
10114;36X24X3;22LBS
10116;46X22X3;12LBS
10123;18X24X3;20LBS
10124;60X24X3;28LBS
10125;60X24X3;28LBS
10129;24X17X3;10LBS
10133;36X35X3;18LBS
10174;60X35X3;36LBS
10175;35X24X3;12LBS
10179;30X25X3;13LBS
10180;59X23X3;23LBS
10184;31X22X3;13LBS
10188;29X24X3;21LBS
10193;35X23X3;21LBS
10197;60X25X3;25LBS
10200;47X23X3;21LBS
10215;48X35X3;28LBS
10222;41X23X3;18LBS
10242;48X35X3;31LBS
10243;47X23X3;20LBS
10245;30X25X3;12LBS
10248;32X26X3;27LBS
10254;35X23X3;15LBS
0009-0365C;47X23X3;15LBS
0009-0439C;40X35X2;30LBS
0009-0481C;36X29X3;32LBS
486-3;26X7X5;1LBS
486-4;36X4X4;21LBS
853;58X6X6;20LBS
3512;34X11X10;27LBS
3549;11X8X6;3LBS
3840;19X14X9;18LBS
0005-0026C;25X13X9;24LBS
0005-0027C;25X13X9;21LBS
0005-0047C;24X8X8;26LBS
0008-0092C;19X14X9;4LBS
0008-0093C;25X14X9;7LBS
0008-0127C;33X6X4;6LBS
0008-0180C;47X12X3;14LBS
0008-0188C;47X12X3;12LBS
0008-0211C;47X12X3;20LBS
0009-0025C;30X12X3;4LBS
0009-0253C;72X4X3;11LBS
0009-0438C;36X12X3;6LBS
234300-1180;75X6X4;19LBS
0009-0005C;60X24X3;8LBS
0009-0372C;24X12X3;5LBS
86-4078-023;25X13X9;5LBS
86-4150-311;32X6X4;4LBS
86-4560-324;26X7X5;3LBS
86-4560-336;39X6X3;6LBS
96-4078-001;25X13X9;20LBS
485-3;22X12X3;5LBS
10217;24X18X18;12LBS
10247;23X18X18;13LBS
10252;30X14X9;9LBS
0001-0335C;31X22X3;20LBS
0001-0336C;60X33X3;24LBS
0001-0966C;49X14X13;11LBS
0008-0013C;32X4X4;2LBS
0008-0084C;26X7X5;1LBS
0008-0103C;32X18X18;21LBS
0008-0106C;37X19X18;12LBS
0008-0112C;18X18X24;7LBS
0009-0008C;4X4X4;1LBS
0009-0015C;8X8X8;1LBS
0009-0311C;4X4X4;1LBS
0009-0490C;70X12X3;5LBS
0009-0507C;32X4X4;1LBS
232850-1184;76X6X3;3LBS
86-4078-023;25X13X9;5LBS
86-4150-311;32X6X4;4LBS
86-4560-200;4X4X4;1LBS
86-4560-324;26X7X5;3LBS
